Goal,Specific,Measurable,Action-oriented,Relevant,Time-bound
New Years resolution Make it big time in underwater basket weaving letsgo,,,,1,
New Years resolution introduce myself as Celestino not Tino,,,,1,
One more New Years resolution is win the super bowl on madden I keep changing teams,,,,1,
My new years resolution is to stop saying Im never drinking again And learn how to drunk text better,,,,1,
I have New Years resolution for some of yall learn the difference between your and youre Thanks,,,,1,
My New Years Resolution is to forgive but never forget Im living my life the Yolo way Im gonna live like everyday is my last day,,,,1,
New Years resolution Touch more butts,,,,1,
My New Years resolution is to actually practice every day cause Im a working musician Also to get less shrimpy by eating and working out,,,,1,
My New Years resolution is to still be the same person,,,,1,
New years resolution coilovers wheels bigger turbo,,,,1,
New Years resolution continue getting poon,,,,1,
My New Years resolution was to stop being a bitch and hating everyone It lasted a whole hours,,,,1,
New Years resolution is to not be a asshole,,,,1,
Tsavagge Lmfao new years resolution is to get this ass FAT,,,,1,
New Years Resolution date someone on american ninja warrior,,,,1,
My New Years resolution was to trim my beard Mission Accomplished,,,,1,
My New Years resolution is to catch Drake going to the same Starbucks twice in one day and then call him out on it,,,,1,
Didnt drink last night but I still threw up am still in bed So I guess my New Years resolution is to throw up more never leave my bed,,,,1,
New Years Resolution grow spiritually Hebrews,,,,1,
TheRealSteveMin My New Years Resolution is to have an opportunity to talk with PrezBlackhurst bout life be I gradua,,,,1,
My New Years resolution is to be super mature cuz thats hot,,,,1,
DaisyFayy Coffee and cigarettes Thats my New Years resolution A lot of them amen,,,,1,
New years resolutiondont drink ever again,,,,1,
New Years Resolution Accept every Candy Crush Facebook invite I get,,,,1,
New Years resolution be funnier OH WAIT IMPOSSIBLE,,,,1,
My New Years resolution is to get out of bed,,,,1,
cindycantdance My new years resolution is exactly the same as last years only do things that make you happy the BEST resolution,,,,1,
My New Years resolution is to be less awkward,,,,1,
One of my New Years resolution is to take better pictures when Im drunk,,,,1,
New Years Resolution I just made Never again shop at Dillards on New Years Day,,,,1,
My New Years resolution devote all my love to Carrie Underwood,,,,1,
Starting my New Years Resolution of getting fit right with a walk with mom and the puppy GettingWorkDone GetFit,,,,1,
New Years resolution fuck more bitches Get more money,,,,1,
New Years resolution switch out the man tears for almond milk in my morning coffee,,,,1,
my New Years resolution is to be more confident and happy and not to think negative,,,,1,
My New Years resolution is to stay fit eat healthy and uh What else Yeah I got nothing looks like another lazy ass year,,,,1,
New Years resolution is to drink less pop and alcohol,,,,1,
My New Years resolution is to become Blair Waldorf and find my Chuck Bass,,,,1,
New Years ResolutionTo take better care of myself and to find joy in everyday Work hard so I can play hard dreambig,,,,1,
Weird but small New Years resolution to have nicer skin and use sunblock more Dont want to age poorly,,,,1,
New Years resolution is to stop thinking and getting over you,,,,1,
I think my New Years resolution should be to stop drinking so much coffee soda bc I want white teeth,,,,1,
New Years resolution is to call out peoples bullshit,,,,1,
my new years resolution is to stop calling my complex for them to go into my apartment to see if Ive unplugged my straightener or not,,,,1,
New Years Resolution Be about it No distractions and keep the mind on the goal Nothing but greatness ahead herewecome championshipmind,,,,1,
My type of new years resolution,,,,1,
Told my grandma my New Years resolution is to eat healthier she makes homemade fried chicken chicken gravy potatoes apple pie,,,,1,
My New Years resolution is that I am going to stop replying to my own tweets,,,,1,
justinbieber Happy New Year Justin My New Years resolution is to meet you this year in Chicago some how Love you x,,,,1,
justinbieber Happy New Year Justin My New Years resolution is to meet you this year in Chicago some how Love you x,,,,1,
New Years resolution is to tweet more,,,,1,
My New Years resolution REMEMBER TO SMILE yearofthesmile,,,,1,
New Years resolution make better bad decisions,,,,1,
New Years Resolution Get Big Get Fit Get That Dream Body IDGOSF,,,,1,
sfphotogirl FranieFrouFrou I LOVE Gregory Peck Hell be in my New Years resolution too,,,,1,
My New Years resolution is to drink my weight in Dr Pepper daily,,,,1,
My New Years resolution is to take a cue from gilmore girls and use the word trollop more,,,,1,
New years resolution to tweet and travel more,,,,1,
New Years resolution,,,,1,
My New Years resolution own a door jeep wrangler,,,,1,
My New Years resolution is to get rid of my double chin,,,,1,
umm so guys Ive been thinking a lot about my New Years resolution and its going to be to reunite the old magcon lemme,,,,1,
luckyGSD ShaynaCat Skye RealFakeGator Doggymolly guess what my New Years resolution is MOL Eat More Nip Ha haa,,,,1,
My first New Years Resolution is to learn to accept myself as I am So I guess I wont be making any others,,,,1,
My New Years resolution is to raise myself to a level of culinary excellence rarely seen in people as young as myself,,,,1,
Im still on that New Years resolution I made years ago YearsSodaSober,,,,1,
My New Years resolution is to be a boss ass bitch Oh wait already fulfilled that,,,,1,
New Years resolution watch The Grand Budapest Hotel once a week,,,,1,
My New Years resolution is simply going to be remembering to write instead of,,,,1,
My New Years resolution,,,,1,
my new years resolution is to not try the McDonalds triple cheeseburger,,,,1,
My New Years resolution is to build a tolerance for spicier foods so I can eat more Indian food,,,,1,
New Years Resolution Spend More Time Doing This and Less Doing That women,,,,1,
My new years resolution is to not tell anybody my new years resolution Yall are too fucking nosey,,,,1,
My new years resolution is to meet MintMilana then of course marry her,,,,1,
New years resolution Im really going to try my hardest to like CourtneyBee during hardtask icandothis,,,,1,
Making my New Years resolution to just be happy is like too much to ask for,,,,1,
For my New Years resolution is to make better bad decisions,,,,1,
MLondon UK New years resolution Lets make some friends via rNeedafriend,,,,1,
My New Years resolution is to get some of my dignity back by going back to prostitution,,,,1,
MLondon UK New years resolution Lets make some friends via rNeedafriend,,,,1,
My New Years resolution is to stop blatantly ignoring guys who ask to take me on dates Wishful thinking people Its not you its me,,,,1,
WizKhalllifa New Years resolution,,,,1,
New Years resolution get my head straight No more cigarettes weed or energy drinks Im going to do me NoMoreStressin,,,,1,
New Years Resolution build a watermelon boat Travel more,,,,1,
A family of ants have made it their new years resolution to take over my kitchen Like most resolutions this too shall fail getreadytodie,,,,1,
New Years resolution everytime my brain tries to think about sex I will think about cool and exotic birds instead,,,,1,
My New Years resolution focus on my physical mental and emotional health,,,,1,
my new years resolution is to stop being ashamed of the things i enjoy because who gives a shit what any of yall judgmental bitches say,,,,1,
Wellp already broke my New Years resolution of not falling off the toilet and breaking both legs again,,,,1,
days into and I still have not purchased anything online New Years resolution going strong,,,,1,
New years resolution is to produce a druggie anthem for CousinStizz,,,,1,
New years resolution donkey punch someone famous,,,,1,
New Years resolution go to Disneyland more,,,,1,
New Years resolution being able to scream along to an ATTILAga song FRONZLLA,,,,1,
My New Years resolution is to not get winded when I go up my stairs lol,,,,1,
new years resolution keep it going for ImJeremyEli,,,,1,
My New Years resolution is simply to remember to write instead of,,,,1,
Sounds good RT VeronicaRoth The only New Years resolution Ive really really settled on is READ MORE BOOKS All the kinds All year,,,,1,
Welp Already broke my New Years resolution to stop being the best in the world at everything,,,,1,
My New Years resolution is to be Blair Waldorf,,,,1,
New Years resolution Be more active on Twitter D,,,,1,
My New Years Resolution is to LOVE more From my family to my awesome fans to music and to life You can never LOVE en,,,,1,
My New Years resolution is to be atleast half as brolic as this kid CRuggiero,,,,1,
New Years resolution get less ugly,,,,1,
New Years resolution stay under lbs,,,,1,
my only new years resolution for is to get my shit together and get out of my parents house,,,,1,
New Years resolution Dont be a dick,,,,1,
My New Years resolution is to not let people get to me,,,,1,
My New Years resolution is to not exist anymore,,,,1,
New Years Resolution Go back to get my degree in Marine Biology,,,,1,
Screw this New Years resolution of no coffee my head feels like its getting sliced in two by a high power chain saw,,,,1,
My resolution is to blog more JK But I did blog today,,,,1,
My New Years resolution was always to get ripped and it never happened so this year its to get fat afletsseewhathappens,,,,1,
New Years resolution have a hot personal trainer,,,,1,
New Years Resolution p,,,,1,
New years resolution stop drinking,,,,1,
My new years resolution is to be less perfect so i can have an actual resolution next year,,,,1,
New Years Resolution improve my physical flexibility while limiting my emotional flexibility,,,,1,
New Years resolution do things for me not for you,,,,1,
Happy New Years My resolution is to hit the gym HARD Plus no more candy or sodas Nothing but poisons to your body and fat,,,,1,
My New Years resolution isnt to start something its to finish it,,,,1,
my new years resolution is to be so cute that it makes people angry tbh,,,,1,
My new years resolution is to not drink any more cokes Lets see how this goes,,,,1,
My new years resolution is to wear sweatpants more,,,,1,
my New Years resolution quit editing all my photos and show you guys the real me new year new me,,,,1,
New Years resolution Dont die Ok maybe I set the bar a little high,,,,1,
This life to me is about helping us all prosper Thats my new years resolution to help more,,,,1,
My new years resolution is K,,,,1,
Maybe my New Years resolution should be to get more than hours of sleep,,,,1,
new years resolution is to get really good at pretending to be sober while drunk there we go,,,,1,
new years resolution clean my room,,,,1,
adventuresinchemistry New Years Resolution for Science really fucking hard,,,,1,
My new years resolution is to see Kiondo more often,,,,1,
New Years Resolution Make bank,,,,1,
laurenmabra New Years resolution let go of something youre attached to,,,,1,
New Years resolution forgive everyone who has made me mad and become a better person by keeping my mouth shut,,,,1,
ThingFinder New Years ResolutionLearn to use apostrophes fb,,,,1,
My New Years resolution was to not make resolutions I cannot keep thus making my resolution null,,,,1,
Happy New Yrs Luiy My new years resolution is to treat u like a person all yrVenenoFierce DJFURE andrewwwwe happy new year saco e sal,,,,1,
My New Years resolution Dont over promise outnumbered,,,,1,
Our New Years resolution is to eat more cereal JonathanQuick OSH CoachKOUConn genoauriemma,,,,1,
My New Years resolution is to not pretend Ill ever watch all those iTunes U lectures Ive bookmarked,,,,1,
My New Years resolution is to stop taking so many selfies,,,,1,
Dang it Just broke my New Years resolution to stop singing LukeBryanOnline songs in Walgreens,,,,1,
New Years resolution investing in a new car,,,,1,
Totally forgot about my New Years resolution probs should start following it before its another goal wasted each year,,,,1,
New Years resolution actually buy the things I save on wanelo,,,,1,
This year Ive only got one new years resolution Have fun,,,,1,
New Years resolution perfect British accent,,,,1,
My new years resolution has to be for me to stop getting tickets Ive gotten atleast last month,,,,1,
Do legs three times a week new years resolution,,,,1,
New Years resolution hit and get good ass grades,,,,1,
My New Years resolution guys,,,,1,
What some people already broke their New Years resolution hahaha I will not break mine to watch more LostGirl htt,,,,1,
My New Years resolution is to eat healthier brb going to go get canes,,,,1,
New Years resolution accomplished unsubscribed from dozens of email newsletters I dont read and dont know how I got in the first place,,,,1,
As a New Years resolution I am going to aspire to become more like stephenfry,,,,1,
Day of and my New Years resolution of reading my bible everyday and memorizing one verse a day is going strong,,,,1,
My New Years resolution LESS Drama MORE Moneyssssss,,,,1,
New Years resolution less technology more living in the moment with the people I love Big moves coming this year ButWhosCounting,,,,1,
My new years resolution is to hug AndreasWyder,,,,1,
New years resolution quit skipping legs,,,,1,
My New Years resolution is to expand Key Properties by recruiting experienced professionals to join our team and ge,,,,1,
My New Years resolution is simply to work harder an focus more on the things thats really important,,,,1,
New Years resolution is to lose at least to pounds by March HealthyNewYear,,,,1,
New Years resolution exercise but it should be fun,,,,1,
New Years resolution was to be taller so far Im failing pretty miserably,,,,1,
New Years resolution to not give any interviews in I already agreed to two Damn,,,,1,
My New Years Resolution getinshape summerbodies aremadeinthewinter,,,,1,
New Years resolution to be more like GerardCoury so is my first step getting a haircut,,,,1,
cheapundies my new years resolution is to get a body worthy of posing in your cheap undies,,,,1,
fbf this time four years ago Giza Egypt New Years resolution is to shoot film as often as I used,,,,1,
My New Years resolution to start hooping and buy this hooping newyearsresolution rave emazinglights,,,,1,
Sobriety That sounds like a pretty good New Years resolution,,,,1,
new years resolution get abs,,,,1,
DevonTalton Lees New years resolution,,,,1,
I have decided that my new years resolution is to count my blessings more often,,,,1,
NEW YEARS RESOLUTION ONLY TYPING IN ALL CAPS,,,,1,
My New Years Resolution Is ROMANS Whats Yours,,,,1,
My New Years resolution is going to be harder than I thought,,,,1,
New Years resolution To reference Back to the Future EVERY SINGLE DAY,,,,1,
Finally decided on a New Years resolution NEVER HAVE FALSE HOPE BE HAPPY AND LIVE MY LIFE AS I WANT TOO,,,,1,
New Years Resolution Have an opportunity to share the gospel to everyone I meet,,,,1,
New Years resolution stop worrying and caring about others and start focusing on myself,,,,1,
Powells My New Years book resolution is to keep a book journal and read even more books,,,,1,
My New Years resolution for fashion magazines is to stop posting about Kardashians,,,,1,
My New Years Resolution Stop being such a sexy animal Ah crap I think I blew it FursuitFriday,,,,1,
My New Years resolution is to stop pretending I can drink as much as my male friends can BYRONALLCAPS,,,,1,
new years resolution more eblasts,,,,1,
When you new years resolution is to loose weight but everyone gives you chocolate and truffles for Christmas EpicFail,,,,1,
New Years resolution Stop doing heroin,,,,1,
New Years resolution,,,,1,
new years resolution use pal and dude less jabroni more,,,,1,
One of my new years resolution is to get behind the wheel by myself Watch out road Im a comin newdriver,,,,1,
My new years resolution is to cut my grass im pretty sure I seen a snake the other day,,,,1,
dailyburn asked for my resolution Now that its in print Ill have to stick with it health exercise,,,,1,
At first my new years resolution was to get healthy but now its to play more DayZ on the FairlightEx puhdado Kdwolf s,,,,1,
New Years Resolution Be interesting enough so people will actually follow me back on Twitter and Instagram,,,,1,
My New Years resolution is to wear shorts every day this year No matter the weather,,,,1,
VeronicaRoth The only New Years resolution Ive really really settled on is READ MORE BOOKS All the kinds All year,,,,1,
New Years Resolution be happy get rid of the pain escape the past,,,,1,
SnapchatProbbz New Years resolution missymaddy,,,,1,
Happy New Years My New Years Resolution is to get a job and look forward to a successful future this year,,,,1,
New Years resolution poke EmDegz as many times as possible on Facebook,,,,1,
New Years Resolution Take over the world,,,,1,
Does everyone have a new years resolution I do mine is to never change for anyone Sara Dalton,,,,1,
my New Years resolution is to become a body builder LOL,,,,1,
Flourish with me in Succeed thrive grow prosper OneWord is my resolution,,,,1,
My New Years resolution is to lose lbd,,,,1,
My New Years resolution is to have everybody boyfriend stay tf outta my DMS lol Ive had my baby now they ready to be in my face,,,,1,
My New Years resolution is to stop surrounding myself with people who are unaware of how great I actually am,,,,1,
My only New Years resolution Learn how to do wing eyeliner,,,,1,
NEW New Years Resolution Join the band HIM From roadie to band manager any position of employment will do,,,,1,
New Years resolution was your typical lose weight I started a diet and working out at the gym yesterday,,,,1,
Make it your New Years resolution to volunteer,,,,1,
Im trying a new tactic this year My New Years resolution is to gain lbs,,,,1,
My New Years resolution is for my boobs to grow oops,,,,1,
My New Years resolution is to Followback,,,,1,
My new years resolution is that this year I am dealing with no nonsense and I mean that Yall will be cut,,,,1,
My new years resolution is to be more optimistic by keeping my cup half full of vodka beer and wine,,,,1,
Made a New Years resolution to start blogging weekly so here we go w post Thnx for reading Happy New Year,,,,1,
New Years resolution stay away from fuckboys,,,,1,
My New Years Resolution is to look like AJ,,,,1,
New years resolution to reply to people possibly stop being shy talk to a guy to be thankful for everyday good or bad,,,,1,
New Years resolution stop social media stalkingkind of sillybuttrue nonegativity,,,,1,
New years resolution Ready to start with healthy choices emotionally and physically GreatStartTo,,,,1,
My new years resolution always is to gain weight FunFact,,,,1,
UPSers my New Years Resolution is to hopefully after years get the opportunity to get a driving job,,,,1,
New Years Resolution No more Chai Lattes from Starbucks or other coffee places,,,,1,
New Yearss resolution clean out dance bag not looking forward to finding out whats actually in there,,,,1,
Barbie I was once an electrical engineer To look that good past and have that many professions New Years resolution be Barbie,,,,1,
Current New Years resolution to unsubscribe from all those email newsletters that I really dont care about Over the years they add up,,,,1,
Ok so new years resolution DROP THIS WEIGHT Im lbs Enough is enough,,,,1,
New Years resolution hug zayn more,,,,1,
my New Years resolution is to actually text people back,,,,1,
Should I bother heading to this gym today People and their new years resolution having asses will be hogging the trea,,,,1,
is gonna be awesome RT NickDemirjian New Years Resolution become EXTREMELY good at guitar hero then bring guitar,,,,1,
LindaLee my new years resolution is to come up with a realistic resolutionno luck yetlol,,,,1,
New Years Resolution Avoid Seeing Things Through Two Flawed Lenses,,,,1,
New Years Resolution Become Adele,,,,1,
New Years resolution stop saying literally and actually Haha jk thats actually literally impossible,,,,1,
If you dnt make it that way My New Years resolution is to do things that matter visit some different parts of the world and live on my,,,,1,
new years resolution be as flexible as tati and learn how to dance like her bc she is inspiration,,,,1,
I wanna quit my jobs as a New Years resolution,,,,1,
My New Years Resolution is to text people back Sorry about guys Ill do better,,,,1,
New Years resolution go to the gymcheck just sat in the hot tub winning,,,,1,
My New Years resolution Stop being my worst critic Dont be afraid to be wrong Give myself some credit As such htt,,,,1,
MayesMikayla yeah I have a feeling thats what Im gonna do But my New Years resolution was to get back to running a mile a day Yeah,,,,1,
My New Years Resolution BE HUMAN,,,,1,
My New Years resolution is to be more like Beyonc,,,,1,
My New Years resolution is to stop looking up my symptoms on WebMD,,,,1,
My New Years resolution is to get my life together I have been through hell and back and Im still going But I want change,,,,1,
I think my new years resolution this year should be to NOT lock my keys in my truck,,,,1,
Apologies to all the good girls I turned bad is my new years resolution,,,,1,
my New Years resolution is do more tyte shit tyteshit,,,,1,
I think my New Years resolution is to be Kylie Jenner,,,,1,
new years resolution,,,,1,
New Years Resolution is to stop telling people with nice butts they have dumps like a truck,,,,1,
my new years resolution was being a nicer person but i already fucked that up yesterday,,,,1,
My new years resolution is to kick more people who say leggings arent pants in the shins,,,,1,
my New Years resolution is to be less nice deal with it,,,,1,
New Years resolution every day wear something that sparkles,,,,1,
I made this New Years Resolution not to be childish and petty this year Boiiiii I broke that shit mins after New Years hit,,,,1,
New Years resolution Lose my baby weight,,,,1,
My New Years resolution is to take every day as it comes and do whatever needed to improve myself on all different aspects realworld,,,,1,
Already broke my New Years resolution of going into work on time,,,,1,
My New Years resolution was to start doing whats best for me and to be happy That definitely goes into effect today,,,,1,
My New Years resolution is to not give a fuck more than I already dont give a fuck,,,,1,
My New Years resolution is to be eating me a bih from the bike so good it make her heart stop,,,,1,
New Years Resolution still going strong years pounds Fitness Edge Trumbull,,,,1,
My New Years resolution is to be more optimistic but I doubt itll happen,,,,1,
TheSexualGIFs New Years resolution find a love like Chuck Blairs please,,,,1,
My New Years resolution is to build the courage to at work,,,,1,
mxfiavibes My New Years resolution is,,,,1,
My New Years Resolution Stop Waiting Stop wishing It is what it is,,,,1,
New years resolution stop worrying so much and take each day day by day,,,,1,
My New Years resolution is to up my Celfie game,,,,1,
New Years resolution month No FB hours in and I feel so out of the loop,,,,1,
My New Years resolution is to go in even harder than last year None of this turn my life around bullshit Im right where I want to be,,,,1,
My New Years Resolution Motto yeah thats a thing btw If its something I wouldve eaten last year dont eat it this year,,,,1,
and I just decided I wanna do am runs as my New Years resolution,,,,1,
Okay so obviously I had to tweet my New Years resolution Here it is GOOOOOOOOOOOOO FAAHHKKK YAAHSSELLFFF,,,,1,
My New Years resolution is to not lose my mind for the first weeks at the gym when EVERYONE is there just fucking around lord help me,,,,1,
My new years resolution is to gain lbs of pure body fat and ignore the homeless,,,,1,
I think everyone in the free world had the same New Years resolution I did Gym was packed,,,,1,
New Years Resolution pt stop reading mommy blogs Im not invested enough to learn from strangers how to parent NYResolutions,,,,1,
My New Years Resolution Read more books Already on it,,,,1,
My New Years Resolution will probably continue being x if I had to guess,,,,1,
Damn Im good New years resolution complete on day,,,,1,
My New Years resolution dont skip a meal Dont miss a calorie dont waste a rep Ive had practice now this is my year NPCteennationals,,,,1,
HarryStyles My new years resolution is to resolve you signing my tattoo,,,,1,
New Years resolution If I got more ass then the girl thats fuckin wit me then IDFWUUUUUU Lmao Juss sayin,,,,1,
My rd final New Years resolutionchoose to not react to other people garbage,,,,1,
New Years resolution ride better,,,,1,
KylieJenner New Years resolution look like Kylie Jenner,,,,1,
My New Years resolution is to go to more concerts not even joking,,,,1,
Ya already ruined my new years resolution of eating better by buying a pizza for myselfwoops,,,,1,
couldnt have brought the new year in a better way Sticking to my New Years resolution of keeping the alive and eating better,,,,1,
My New Years resolution was to listen to listen to more old school blues musicians Today is Lightning Hopkins MojoHand,,,,1,
My New Years resolution is to meet my high fitness goals Ive set for myself Post a picture and make everyone who treated me like shit cry,,,,1,
Be less shallow This is my New Years resolution,,,,1,
My new years resolution is to be able to a pull up,,,,1,
my new years resolution for is to find out if I need to have a printer to get Email still working on my resolution from,,,,1,
New Years resolution give people a chance Dont be a bitch Work harder on my relationships Be healthier basicbitchshit,,,,1,
New Years resolution dont get so hurt by people who make you feel less than know your worth own it,,,,1,
New Years resolution dont get so hurt by people who make you feel less than know your worth own it,,,,1,
My New Years resolution is to save my paychecks instead immediately spending them Let see how long this lasts,,,,1,
My New Years resolution is to find a pair of jeans that actually fit FingersCrossed,,,,1,
My New Years resolution isnt changing me but become the best version of me,,,,1,
A New Years Resolution For Imperfect Parents treating yourself with the same kindness care and concern,,,,1,
Ive figured out my New Years resolution and Im going to put my life back together again,,,,1,
BestHairstyIes Blake Lively is my New Years Resolution,,,,1,
Son RT SheHalfrican I need to stop hitting cars and driving off That needs to be my New Years resolution,,,,1,
hope the only New Years resolution I DO keep is were I try every taco spot in the East Dallas area,,,,1,
TopBoobs Shes my New Years resolution,,,,1,
new years resolution take my makeup off before i go to sleep,,,,1,
New Years Resolution Spend more time with Gelek Rimpoche and his teachings through the vast archive,,,,1,
My New Years resolution He Jesus must increase but I must decrease,,,,1,
New Years Resolution See more movies is slated to be a monster year for cinema,,,,1,
My New Years resolution is to start taking down escalators,,,,1,
girlposts New Years resolution,,,,1,
New Years Resolution Spend more time with Gelek Rimpoche and his teachings through the vast archive,,,,1,
New Years resolution is to tell everyone the truth,,,,1,
tumbIerposts New Years resolution Yes As a teacher this is my goal,,,,1,
The only New Years resolution Ive really really settled on is READ MORE BOOKS All the kinds All year,,,,1,
My New Years resolution is to find a bangin girl and cuff her,,,,1,
My New Years Resolution See a sunrise,,,,1,
New Years Resolution Get more work done Need my cityofink family to help me get like this Just,,,,1,
New years resolution watch all seasons of the league blue mountain state breaking bad game of thrones and the walking dead thx netflix,,,,1,
My New Years Resolution Be polite,,,,1,
New Years resolution stop spending so much money on food,,,,1,
tumbIerposts New Years resolution no promises,,,,1,
WynonnaMusic found this this morning on my Fb This is my New Years resolution,,,,1,
My New Years resolution is to hate you more,,,,1,
New Years resolution drink green juice,,,,1,
WomensHumor My New Years resolution is simply to remember to write instead of madisonpaige,,,,1,
NEW YEARS RESOLUTION BE A SHITTIERMORE SELFISH PERSON IN,,,,1,
My New Years resolution is to convert to solar energy on account of my last nationalgridus bill,,,,1,
New Years resolution learn how to manage a personal budget Womp womp,,,,1,
I cant decide whether my New Years resolution to be more decisive is a good idea or not,,,,1,
HeatherBVitale My New Years resolution is to go to the track at least once a month HorseRacing,,,,1,
I forgot to make a new years resolutioncan I have yours,,,,1,
New years resolution Stay high as fuck,,,,1,
Quitting Starbucks was my new years resolution that I started months ago Ha Im out of your evil web of dollar coffee P,,,,1,
My new years resolution is not to make a new years resolution,,,,1,
My new years resolution is to get to followers and lose lbs,,,,1,
NEW YEARS RESOLUTION TO BE ABLE TO USE THIS GIF AT A CONTEXTUALLY APPROPRIATE TIME,,,,1,
My New Years Resolution is simple and its universal Its one that everyone should take I will strive to be a better person,,,,1,
My New Years Resolution,,,,1,
lexiiiemariiie ijustdgad guys my New Years resolution is for me not to be an asshole Youre so nice though I know,,,,1,
My New Years resolution is to get even better at angles so everyone back home thinks Im really skinny now,,,,1,
MrOwl GOOD MORNING MR OWL HAPPY NEW YEARS U MY NEW YEARS RESOLUTION IS TO LIVE LIFE TO THE FULLEST BECAUSE WE ARE NOT PROMISED TOMORROW,,,,1,
devinsteuber kielyannese hahaha yesss Whats your New Years resolution To get a boyfriend Yeah I hope you get a boyfriend too,,,,1,
My new years resolution is to back up my phone more often,,,,1,
One important New Years resolution I implemented in my arsenal is prayer,,,,1,
My New Years resolution is to continue to save money from super low gas prices IWish,,,,1,
MichaelMRE My New Years resolution is to be nice to HannahHardesty It might be a long year lets see how long this lasts,,,,1,
ZodiacFacts A Virgos New Years Resolution Be more carefree and know that you cant save everybody even if you tried,,,,1,
Of course when my New Years resolution is to stop complaining I get a sickness sent from hell,,,,1,
one of my New Years Resolutions stop using the words like and things so often,,,,1,
New Years resolution number one delete fb off my phone Number two Go to spin at am twice a week we will see about this one,,,,1,
DanielBrim elserracho seems right up your alley RT debrink My New Years resolution is to be bi,,,,1,
New Years resolution actually finish watching the gossip girl series on Netflix,,,,1,
I think my New Years resolution will be to start telling people how I feel the first time instead of waiting till they push me to my limit,,,,1,
Two days late but my new years resolution is to learn German,,,,1,
New Years resolution stop spending so much time on redditmaybe,,,,1,
New Years resolution Spend less time untangling my headphones at the gym,,,,1,
Stuck with my New Years resolution for days goingstrong,,,,1,
My New Years resolution is to keep saying Happy New Year to people until about August,,,,1,
xRosemary Yea I had fun And my new years resolution is to meet you finally,,,,1,
My only New Years resolution is to drink more water lol,,,,1,
New Years resolution cut loose ends,,,,1,
Hey friends Whats your New Years resolution Mine is to get back in shape and eat better,,,,1,
my New Years resolution was to keep my room clean but my problem is I dont feel like cleaning it,,,,1,
booksandwine I love your resolutions Mine was sortof similar to your I want to make this year matter,,,,1,
Im gonna try to eat healthy as my New Years resolution currently eating Ben Jerrys for breakfast ItsTheThoughtThatCounts,,,,1,
My new years resolution is to watch all the episodes of Friends on Netflix in a timely manner priorities donotdisturb,,,,1,
YeahWomensHumor My New Years resolution is simply to remember to write instead of,,,,1,
me makes new years resolution to cut spending me buys shoes on nd day of new year,,,,1,
Oh yeah My New Years Resolution is to go on more fun Trips with cheyennebaiza in Hope her Boyfriend is ok with this,,,,1,
My New Years resolution is to make great podcasts and tell people what to think about stuff Ep Best of http,,,,1,
My New Years resolution is to not look so mean,,,,1,
New Years resolution find a love like Chuck Blairs,,,,1,
My new years resolution is to make friends Im now and Ive been antisocial for the past years No friends and lonley,,,,1,
My New Years resolution is to become a twitter head again,,,,1,
New Years resolution not to have a New Years resolution Strive to be a better person every month every year,,,,1,
my New Years resolution is to admit I have OCD my New Years resolution is to admit I have OCD my New Years resolution is t,,,,1,
More realistic New Years resolution fail better,,,,1,
New Years resolution get fat Like really fat Like RMcElhenney season fat,,,,1,
My new years resolution is to start a revolution,,,,1,
My New Years resolution is to stop sitting on my wallet in order to preserve the life of my already bad back,,,,1,
New Years Resolution I will never say Wow Just wow Destroyallcliches,,,,1,
My New Years resolution,,,,1,
Jamillyyy What is my New Years resolution Grow a nice beard,,,,1,
New Years Resolution God Family Basketball,,,,1,
truthfultumblr And s New Years resolution will be lol,,,,1,
Bring my girls out for dinner to night part of my New Years resolution next I need to get her to join Twitter NewMan,,,,1,
Want to apologize to those affected by my broken New Years resolution yesterday Starting over today No killingno killingno killing,,,,1,
New Years resolution take day Thank you Nana,,,,1,
Well after careful consideration much pondering self reflection I have decided my New Years resolution is to continue being awesome,,,,1,
New Years resolution since Chase money not bitches,,,,1,
WomensHumor My New Years resolution is simply to remember to write instead of Lol i will remember in mid August,,,,1,
My New Years resolution will begin Monday Lol,,,,1,
WifiEmail If I had big tits I would try and slap as many people as I could with them My New Years resolution you guys,,,,1,
markberman Thats my New Years resolution,,,,1,
Ya New Years resolution eat better,,,,1,
Im too tall for my mirror This is day of my New Years resolution challenge Im trying to stick,,,,1,
New Years Resolution Ill never do it again Ill focus more on studing I will try my best in everything,,,,1,
New Years resolution Dont ask strangers to take your group photos Shattered iPhone on New Years Day,,,,1,
My new years resolution is to get past the chaos of Shades movie and make it to Avengers Age of Ultron,,,,1,
My New Years resolution is to clean my room since I made it through without doing it,,,,1,
My only New Years resolution is to get this money,,,,1,
Not sure if its entirely about being healthier but one New Years resolution is to eat more avocado,,,,1,
My New Years Resolution is to stop telling people to lotion on their ankles inshaAllah,,,,1,
New years resolution get new friends abbywilson,,,,1,
Coffee turns me into a better person Soy new years resolution is drink more coffee,,,,1,
A New Years resolution worth holding onto Be fearless to be creative CultureMap Houston,,,,1,
My New Years resolution is to meet ChuckisHandy Not today not tomorrow just sometime this year,,,,1,
My new years resolution is x,,,,1,
My New Years Resolution Ill probably keep it at x like always Thanks for asking,,,,1,
New Years resolution,,,,1,
My new years resolution is,,,,1,
My mom told me I should make my New Years resolution to stop drinking so much HA Good one Donna,,,,1,
New Years resolution tag zcrom in every Intelligentsia photo taken this year,,,,1,
My New Years Resolution is x,,,,1,
